"","team","season","pts_pct"
"789","COL","2000-01",0.72
"790","COL","1999-00",0.585
"791","COL","1998-99",0.598
"792","COL","1997-98",0.579
"793","COL","1996-97",0.652
"794","COL","1995-96",0.634
"795",NA,"1994-95",0.677
"796",NA,"1993-94",0.452
"797",NA,"1992-93",0.619
"798",NA,"1991-92",0.325
"799",NA,"1990-91",0.288
"800",NA,"1989-90",0.194
"801",NA,"1988-89",0.381
"802",NA,"1987-88",0.431
"803",NA,"1986-87",0.45
"804",NA,"1985-86",0.575
"805",NA,"1984-85",0.569
"806",NA,"1983-84",0.588
"807",NA,"1982-83",0.5
"808",NA,"1981-82",0.513
"809",NA,"1980-81",0.488
"810",NA,"1979-80",0.381
"811","WPG","2023-24",0.653
"812","WPG","2022-23",0.579
"813","WPG","2021-22",0.543
"814","WPG","2020-21",0.563
"815","WPG","2019-20",0.563
"816","WPG","2018-19",0.604
"817","WPG","2017-18",0.695
"818","WPG","2016-17",0.53
"819","WPG","2015-16",0.476
"820","WPG","2014-15",0.604
"821","WPG","2013-14",0.512
"822","WPG","2012-13",0.531
"823","WPG","2011-12",0.512
"824",NA,"2010-11",0.488
"825",NA,"2009-10",0.506
"826",NA,"2008-09",0.463
"827",NA,"2007-08",0.463
"828",NA,"2006-07",0.591
"829",NA,"2005-06",0.549
"830",NA,"2003-04",0.476
"831",NA,"2002-03",0.451
"832",NA,"2001-02",0.329
"833",NA,"2000-01",0.366
"834",NA,"1999-00",0.238
"835","NSH","2023-24",0.625
"836","NSH","2022-23",0.561
"837","NSH","2021-22",0.591
"838","NSH","2020-21",0.571
"839","NSH","2019-20",0.565
"840","NSH","2018-19",0.61
"841","NSH","2017-18",0.713
"842","NSH","2016-17",0.573
"843","NSH","2015-16",0.585
"844","NSH","2014-15",0.634
"845","NSH","2013-14",0.537
"846","NSH","2012-13",0.427
"847","NSH","2011-12",0.634
"848","NSH","2010-11",0.604
"849","NSH","2009-10",0.61
"850","NSH","2008-09",0.537
"851","NSH","2007-08",0.555
"852","NSH","2006-07",0.671
"853","NSH","2005-06",0.646
"854","NSH","2003-04",0.555
"855","NSH","2002-03",0.451
"856","NSH","2001-02",0.421
"857","NSH","2000-01",0.488
"858","NSH","1999-00",0.427
"859","NSH","1998-99",0.384
"860","STL","2023-24",0.556
"861","STL","2022-23",0.494
"862","STL","2021-22",0.665
"863","STL","2020-21",0.563
"864","STL","2019-20",0.662
"865","STL","2018-19",0.604
"866","STL","2017-18",0.573
"867","STL","2016-17",0.604
"868","STL","2015-16",0.652
"869","STL","2014-15",0.665
"870","STL","2013-14",0.677
"871","STL","2012-13",0.625
"872","STL","2011-12",0.665
"873","STL","2010-11",0.53
"874","STL","2009-10",0.549
